Epoch,gpu_mem,GIoU,obj,cls,total,targets,img_size,P,R,mAP@0.5,mAP@0.5:0.95,Val GIoU,Val objectness,Val classification,model,n_images
220/299,12.1G,0.02515,0.0727,0.00275,0.1006,198,640,0.4477,0.8108,0.7445,0.504,0.03194,0.1088,0.01989,YOLO v5,250
221/299,12.1G,0.02512,0.07176,0.003271,0.1001,149,640,0.4283,0.8049,0.7382,0.4979,0.03195,0.1083,0.02094,YOLO v5,250
222/299,12.1G,0.02481,0.07118,0.00268,0.09867,152,640,0.4404,0.8027,0.7115,0.4785,0.03233,0.1089,0.02624,YOLO v5,250
223/299,12.1G,0.02417,0.06953,0.002922,0.09662,117,640,0.4699,0.786,0.7111,0.4803,0.03269,0.11,0.02494,YOLO v5,250
224/299,12.1G,0.02497,0.07114,0.003122,0.09922,212,640,0.4637,0.7827,0.7212,0.4943,0.03237,0.1068,0.02538,YOLO v5,250
225/299,12.1G,0.02427,0.07142,0.003121,0.09881,229,640,0.435,0.8051,0.7277,0.4898,0.03199,0.1073,0.02352,YOLO v5,250
226/299,12.1G,0.02502,0.07101,0.002842,0.09888,126,640,0.4796,0.7895,0.7232,0.4921,0.03249,0.1099,0.0239,YOLO v5,250
227/299,12.1G,0.02493,0.07082,0.002579,0.09833,205,640,0.4672,0.7951,0.7337,0.4949,0.03235,0.1094,0.02405,YOLO v5,250
228/299,12.1G,0.02378,0.07054,0.002823,0.09714,199,640,0.4261,0.8267,0.7324,0.4972,0.03155,0.1082,0.02166,YOLO v5,250
229/299,12.1G,0.02499,0.07143,0.002549,0.09897,227,640,0.4196,0.8095,0.7231,0.4902,0.03208,0.1092,0.02598,YOLO v5,250
230/299,12.1G,0.02438,0.07251,0.002812,0.0997,244,640,0.4511,0.8054,0.7324,0.4965,0.03217,0.1083,0.0214,YOLO v5,250
231/299,12.1G,0.0241,0.06709,0.002782,0.09398,185,640,0.4366,0.8107,0.7285,0.4925,0.03207,0.1094,0.02197,YOLO v5,250
232/299,12.1G,0.0246,0.06889,0.003009,0.09649,183,640,0.4235,0.8001,0.7227,0.4921,0.03187,0.1087,0.02533,YOLO v5,250
233/299,12.1G,0.02447,0.06922,0.002855,0.09654,160,640,0.4403,0.7926,0.7303,0.4976,0.0323,0.1088,0.02302,YOLO v5,250
234/299,12.1G,0.02444,0.06965,0.002648,0.09674,171,640,0.4559,0.78,0.7228,0.4891,0.03272,0.1112,0.02142,YOLO v5,250
235/299,12.1G,0.02438,0.06969,0.002937,0.097,168,640,0.4571,0.7956,0.7268,0.4958,0.03235,0.1118,0.02111,YOLO v5,250
236/299,12.1G,0.0238,0.06831,0.00311,0.09522,180,640,0.4558,0.7869,0.7255,0.4931,0.03262,0.1111,0.02259,YOLO v5,250
237/299,12.1G,0.02436,0.06803,0.002864,0.09526,185,640,0.4244,0.7941,0.7202,0.4932,0.03218,0.1096,0.02516,YOLO v5,250
238/299,12.1G,0.02373,0.06824,0.002517,0.09448,187,640,0.4533,0.7895,0.7205,0.4966,0.03202,0.1115,0.02288,YOLO v5,250
239/299,12.1G,0.02401,0.07003,0.00263,0.09667,170,640,0.45,0.7883,0.7271,0.4985,0.03235,0.1131,0.02122,YOLO v5,250
240/299,12.1G,0.02375,0.06931,0.002828,0.09588,172,640,0.4466,0.792,0.7302,0.4979,0.03243,0.1098,0.02174,YOLO v5,250
241/299,12.1G,0.02371,0.0668,0.002626,0.09314,225,640,0.442,0.8016,0.7219,0.4952,0.03239,0.1097,0.02177,YOLO v5,250
242/299,12.1G,0.02392,0.06898,0.002516,0.09542,167,640,0.4498,0.7836,0.7199,0.4971,0.03223,0.1115,0.02246,YOLO v5,250
243/299,12.1G,0.02375,0.06902,0.002633,0.0954,180,640,0.4616,0.7869,0.7283,0.4995,0.03194,0.1106,0.02214,YOLO v5,250
244/299,12.1G,0.02368,0.06623,0.002719,0.09263,168,640,0.451,0.7874,0.721,0.4955,0.03198,0.1111,0.02368,YOLO v5,250
245/299,12.1G,0.0235,0.06781,0.002725,0.09404,200,640,0.4151,0.7961,0.7168,0.4965,0.03174,0.1109,0.02372,YOLO v5,250
246/299,12.1G,0.02364,0.06607,0.002284,0.092,192,640,0.4343,0.8085,0.7313,0.5067,0.03155,0.1104,0.02111,YOLO v5,250
