Epoch,gpu_mem,GIoU,obj,cls,total,targets,img_size,P,R,mAP@0.5,mAP@0.5:0.95,Val GIoU,Val objectness,Val classification,model,n_images
27/299,11.9G,0.02965,0.08526,0.005232,0.1201,207,640,0.4461,0.9927,0.9812,0.7539,0.0224,0.06805,0.001015,YOLO v5,2000
28/299,11.9G,0.02957,0.08475,0.004613,0.1189,161,640,0.5377,0.9918,0.984,0.7651,0.02198,0.06245,0.001356,YOLO v5,2000
29/299,11.9G,0.0293,0.08333,0.004823,0.1175,196,640,0.5494,0.9936,0.9845,0.7626,0.02201,0.06163,0.000841,YOLO v5,2000
30/299,11.9G,0.02888,0.08251,0.004632,0.116,142,640,0.5066,0.993,0.9856,0.771,0.0218,0.06225,0.001046,YOLO v5,2000
31/299,11.9G,0.02847,0.08188,0.004211,0.1146,216,640,0.6013,0.9939,0.9891,0.7841,0.0211,0.05808,0.000692,YOLO v5,2000
32/299,11.9G,0.02838,0.08084,0.004633,0.1138,208,640,0.4939,0.996,0.9862,0.7757,0.02098,0.06214,0.001099,YOLO v5,2000
33/299,11.9G,0.0282,0.08018,0.004493,0.1129,170,640,0.5521,0.9943,0.9897,0.7873,0.02058,0.0582,0.0006219,YOLO v5,2000
34/299,11.9G,0.02765,0.0798,0.004189,0.1116,178,640,0.5824,0.9937,0.9892,0.7882,0.02053,0.056,0.0007385,YOLO v5,2000
35/299,11.9G,0.02742,0.07942,0.004819,0.1117,182,640,0.5427,0.9938,0.9863,0.7873,0.02043,0.05774,0.001344,YOLO v5,2000
36/299,11.9G,0.02758,0.07853,0.004151,0.1103,174,640,0.5195,0.9959,0.9911,0.797,0.01995,0.05815,0.0005416,YOLO v5,2000
37/299,11.9G,0.02692,0.07812,0.003755,0.1088,138,640,0.5941,0.9971,0.9924,0.8044,0.01955,0.05396,0.000574,YOLO v5,2000
38/299,11.9G,0.02665,0.0768,0.004065,0.1075,184,640,0.6005,0.9961,0.991,0.8045,0.01956,0.05431,0.0006048,YOLO v5,2000
39/299,11.9G,0.02662,0.07653,0.003727,0.1069,160,640,0.5697,0.997,0.9926,0.81,0.01909,0.05372,0.0004851,YOLO v5,2000
40/299,11.9G,0.02643,0.07623,0.003874,0.1065,180,640,0.5677,0.9966,0.9933,0.8148,0.01896,0.05376,0.0003746,YOLO v5,2000
41/299,11.9G,0.02636,0.07604,0.00378,0.1062,185,640,0.5703,0.9968,0.9929,0.8132,0.01871,0.0532,0.000449,YOLO v5,2000
42/299,11.9G,0.02599,0.07423,0.003504,0.1037,208,640,0.5797,0.9965,0.9929,0.8197,0.01844,0.05186,0.000413,YOLO v5,2000
43/299,11.9G,0.02575,0.07397,0.003291,0.103,178,640,0.5387,0.9968,0.9927,0.8216,0.01836,0.05324,0.0004454,YOLO v5,2000
44/299,11.9G,0.02547,0.07335,0.003546,0.1024,164,640,0.5904,0.9974,0.994,0.8258,0.01786,0.05148,0.0004219,YOLO v5,2000
45/299,11.9G,0.02519,0.07286,0.003287,0.1013,184,640,0.5873,0.9978,0.994,0.8271,0.01765,0.05076,0.0003372,YOLO v5,2000
46/299,11.9G,0.02495,0.07193,0.003515,0.1004,160,640,0.6201,0.9974,0.9941,0.835,0.01746,0.04916,0.0002938,YOLO v5,2000
47/299,11.9G,0.025,0.0726,0.003306,0.1009,140,640,0.6242,0.9974,0.9942,0.834,0.01745,0.04911,0.0003384,YOLO v5,2000
48/299,11.9G,0.02498,0.07241,0.003171,0.1006,244,640,0.6165,0.9979,0.9941,0.839,0.01718,0.04902,0.0002848,YOLO v5,2000
49/299,11.9G,0.02461,0.07224,0.003862,0.1007,175,640,0.6906,0.9961,0.9924,0.8273,0.01782,0.04897,0.001055,YOLO v5,2000
50/299,11.9G,0.02504,0.07252,0.003476,0.101,152,640,0.629,0.9979,0.9944,0.8401,0.01704,0.04811,0.0002915,YOLO v5,2000
51/299,11.9G,0.02426,0.07007,0.003273,0.0976,167,640,0.6098,0.9979,0.9943,0.8433,0.01664,0.04821,0.0003024,YOLO v5,2000
52/299,11.9G,0.02402,0.07035,0.002957,0.09733,132,640,0.6236,0.998,0.9943,0.847,0.01654,0.04791,0.000267,YOLO v5,2000
53/299,11.9G,0.02405,0.06938,0.003052,0.09648,166,640,0.6266,0.9977,0.9947,0.8494,0.01626,0.04681,0.000249,YOLO v5,2000
54/299,11.9G,0.02377,0.06897,0.002865,0.0956,156,640,0.6164,0.9983,0.9944,0.849,0.01625,0.04668,0.000248,YOLO v5,2000
55/299,11.9G,0.02388,0.06932,0.003207,0.09641,192,640,0.5891,0.9983,0.9944,0.8521,0.01601,0.04715,0.0002496,YOLO v5,2000
56/299,11.9G,0.02371,0.06916,0.002897,0.09576,181,640,0.6,0.9981,0.9944,0.8578,0.0159,0.04641,0.0003025,YOLO v5,2000
57/299,11.9G,0.02344,0.06858,0.002712,0.09474,199,640,0.6103,0.9982,0.9944,0.8559,0.01575,0.04649,0.0002259,YOLO v5,2000
58/299,11.9G,0.02319,0.06771,0.002766,0.09367,170,640,0.616,0.9981,0.9944,0.8589,0.01554,0.04542,0.0002494,YOLO v5,2000
59/299,11.9G,0.02318,0.06721,0.002691,0.09308,177,640,0.634,0.9982,0.9944,0.8632,0.01524,0.04376,0.0002394,YOLO v5,2000
60/299,11.9G,0.02282,0.06716,0.002771,0.09275,112,640,0.6133,0.9983,0.9947,0.8632,0.0152,0.04461,0.0002436,YOLO v5,2000
61/299,11.9G,0.02292,0.06647,0.002815,0.0922,154,640,0.6404,0.9983,0.9946,0.8658,0.01504,0.04438,0.0002112,YOLO v5,2000
62/299,11.9G,0.02279,0.06674,0.002783,0.09231,158,640,0.6243,0.9983,0.9947,0.8672,0.015,0.04415,0.000237,YOLO v5,2000
63/299,11.9G,0.02238,0.06582,0.002417,0.09062,131,640,0.6517,0.9984,0.9948,0.87,0.01469,0.04274,0.0002233,YOLO v5,2000
64/299,11.9G,0.02273,0.06623,0.002649,0.09161,216,640,0.6504,0.9985,0.9947,0.87,0.01455,0.04284,0.0002121,YOLO v5,2000
65/299,11.9G,0.02231,0.06578,0.002365,0.09045,129,640,0.6507,0.9985,0.9947,0.8747,0.01445,0.04219,0.0002179,YOLO v5,2000
66/299,11.9G,0.02203,0.0643,0.002452,0.08878,145,640,0.6408,0.9985,0.9948,0.875,0.01434,0.0415,0.0002171,YOLO v5,2000
67/299,11.9G,0.02217,0.06526,0.002536,0.08997,148,640,0.6384,0.9985,0.9948,0.8748,0.01424,0.04184,0.0002224,YOLO v5,2000
68/299,11.9G,0.02186,0.06442,0.002262,0.08854,178,640,0.6483,0.9983,0.9948,0.8793,0.01403,0.04144,0.0002054,YOLO v5,2000
69/299,11.9G,0.02174,0.06401,0.002261,0.08801,196,640,0.6607,0.9984,0.9948,0.8811,0.01385,0.04105,0.0002077,YOLO v5,2000
70/299,11.9G,0.02159,0.06348,0.002358,0.08743,146,640,0.6518,0.9983,0.9949,0.8812,0.0137,0.04066,0.0002079,YOLO v5,2000
71/299,11.9G,0.02165,0.06334,0.002456,0.08745,149,640,0.6362,0.9985,0.9946,0.8813,0.01372,0.04074,0.0002026,YOLO v5,2000
72/299,11.9G,0.02161,0.06329,0.002311,0.08721,180,640,0.6603,0.9983,0.9947,0.8824,0.01358,0.04048,0.0001997,YOLO v5,2000
73/299,11.9G,0.02146,0.06306,0.002269,0.08679,145,640,0.6687,0.9982,0.9948,0.8859,0.01339,0.03985,0.0001923,YOLO v5,2000
74/299,11.9G,0.02106,0.06155,0.002178,0.08479,134,640,0.6803,0.9984,0.9948,0.8892,0.01325,0.03912,0.0002042,YOLO v5,2000
75/299,11.9G,0.02112,0.0631,0.002274,0.08649,163,640,0.6826,0.9983,0.9949,0.889,0.01314,0.03877,0.0001992,YOLO v5,2000
76/299,11.9G,0.021,0.0625,0.002105,0.0856,147,640,0.6681,0.9986,0.9949,0.8924,0.01304,0.03884,0.0001847,YOLO v5,2000
77/299,11.9G,0.02095,0.06211,0.002127,0.08519,135,640,0.6753,0.9984,0.9949,0.8922,0.01288,0.03849,0.0001837,YOLO v5,2000
78/299,11.9G,0.02087,0.06128,0.002104,0.08426,137,640,0.6778,0.9984,0.9948,0.8949,0.01273,0.03828,0.000185,YOLO v5,2000
79/299,11.9G,0.02054,0.06072,0.002145,0.0834,80,640,0.6854,0.9984,0.9948,0.896,0.01258,0.03819,0.0001817,YOLO v5,2000
80/299,11.9G,0.02062,0.06117,0.00221,0.084,202,640,0.6947,0.9983,0.9949,0.898,0.01247,0.03787,0.0001875,YOLO v5,2000
81/299,11.9G,0.02048,0.0607,0.002161,0.08334,207,640,0.6864,0.9983,0.995,0.8976,0.01243,0.03767,0.000181,YOLO v5,2000
82/299,11.9G,0.02044,0.06166,0.002394,0.08449,210,640,0.6801,0.9982,0.9949,0.8982,0.01241,0.03766,0.0001753,YOLO v5,2000
83/299,11.9G,0.0207,0.0609,0.00208,0.08368,191,640,0.6809,0.9984,0.9949,0.9002,0.01231,0.03735,0.0001772,YOLO v5,2000
84/299,11.9G,0.02035,0.06077,0.002007,0.08313,173,640,0.689,0.9984,0.9949,0.9007,0.01221,0.03673,0.0001762,YOLO v5,2000
85/299,11.9G,0.02023,0.05996,0.002022,0.08222,216,640,0.6813,0.9984,0.9949,0.9036,0.01212,0.03652,0.0001776,YOLO v5,2000
86/299,11.9G,0.02004,0.05977,0.001989,0.08179,185,640,0.681,0.9985,0.9949,0.9051,0.01198,0.03645,0.0001697,YOLO v5,2000
87/299,11.9G,0.02006,0.05945,0.001986,0.0815,158,640,0.6828,0.9985,0.9949,0.9055,0.01189,0.03632,0.0001738,YOLO v5,2000
88/299,11.9G,0.01994,0.05905,0.001938,0.08093,173,640,0.6906,0.9984,0.9949,0.9069,0.01177,0.03605,0.0001747,YOLO v5,2000
89/299,11.9G,0.01973,0.05953,0.001936,0.0812,160,640,0.6973,0.9984,0.9949,0.9088,0.01166,0.03544,0.0001735,YOLO v5,2000
90/299,11.9G,0.01976,0.05841,0.001772,0.07994,142,640,0.7011,0.9986,0.9949,0.9097,0.01156,0.03541,0.0001723,YOLO v5,2000
91/299,11.9G,0.01951,0.05832,0.001855,0.07968,138,640,0.6905,0.9984,0.9949,0.9097,0.01154,0.03541,0.0001725,YOLO v5,2000
92/299,11.9G,0.01964,0.05864,0.001797,0.08007,159,640,0.7025,0.9985,0.9949,0.9118,0.01142,0.03483,0.0001739,YOLO v5,2000
93/299,11.9G,0.01967,0.0582,0.002062,0.07994,148,640,0.7054,0.9986,0.9949,0.9128,0.01134,0.03467,0.000171,YOLO v5,2000
94/299,11.9G,0.01933,0.05856,0.001892,0.07978,206,640,0.7093,0.9986,0.9949,0.9133,0.01127,0.0346,0.0001654,YOLO v5,2000
95/299,11.9G,0.0192,0.0571,0.00179,0.07808,187,640,0.6971,0.9984,0.9949,0.9143,0.01123,0.03478,0.0001648,YOLO v5,2000
96/299,11.9G,0.01944,0.05836,0.002041,0.07984,218,640,0.6981,0.9985,0.9949,0.9141,0.01117,0.03464,0.0001616,YOLO v5,2000
97/299,11.9G,0.01918,0.05763,0.001794,0.07861,129,640,0.7016,0.9986,0.9949,0.9157,0.01113,0.03429,0.0001582,YOLO v5,2000
98/299,11.9G,0.01918,0.05691,0.001753,0.07784,182,640,0.706,0.9985,0.995,0.9172,0.01106,0.03397,0.000161,YOLO v5,2000
99/299,11.9G,0.01892,0.05731,0.001788,0.07802,181,640,0.7103,0.9986,0.995,0.9183,0.01102,0.03369,0.0001583,YOLO v5,2000
100/299,11.9G,0.0189,0.05641,0.00175,0.07706,186,640,0.7096,0.9986,0.995,0.9176,0.01092,0.03345,0.0001568,YOLO v5,2000
101/299,11.9G,0.01866,0.05598,0.001653,0.0763,123,640,0.712,0.9985,0.995,0.9184,0.01084,0.03326,0.0001554,YOLO v5,2000
102/299,11.9G,0.01877,0.05617,0.001675,0.07662,127,640,0.7126,0.9985,0.9949,0.9205,0.01073,0.03312,0.0001545,YOLO v5,2000
103/299,11.9G,0.01864,0.05637,0.001597,0.0766,188,640,0.7114,0.9986,0.9949,0.9213,0.01065,0.03305,0.0001535,YOLO v5,2000
104/299,11.9G,0.01853,0.05564,0.001632,0.0758,162,640,0.7125,0.9986,0.9949,0.9231,0.01057,0.03287,0.0001588,YOLO v5,2000
105/299,11.9G,0.01865,0.05569,0.001604,0.07595,199,640,0.7142,0.9985,0.995,0.9242,0.01046,0.03251,0.0001603,YOLO v5,2000
106/299,11.9G,0.01861,0.05551,0.001565,0.07569,204,640,0.7095,0.9985,0.995,0.9251,0.0104,0.03248,0.0001564,YOLO v5,2000
107/299,11.9G,0.01837,0.05529,0.001561,0.07522,202,640,0.7039,0.9985,0.995,0.9246,0.01036,0.03268,0.0001554,YOLO v5,2000
108/299,11.9G,0.01827,0.05425,0.001596,0.07411,155,640,0.7155,0.9985,0.995,0.9258,0.01026,0.03234,0.0001563,YOLO v5,2000
109/299,11.9G,0.01819,0.05498,0.00155,0.07472,197,640,0.7127,0.9984,0.995,0.9271,0.01019,0.0323,0.000154,YOLO v5,2000
110/299,11.9G,0.01813,0.05503,0.00138,0.07454,143,640,0.7165,0.9985,0.995,0.9288,0.0101,0.03203,0.0001545,YOLO v5,2000
111/299,11.9G,0.01814,0.05454,0.001569,0.07425,131,640,0.7184,0.9986,0.995,0.9284,0.01005,0.03187,0.0001555,YOLO v5,2000
112/299,11.9G,0.01817,0.05499,0.001841,0.075,179,640,0.7168,0.9986,0.995,0.9309,0.01001,0.03183,0.0001536,YOLO v5,2000
113/299,11.9G,0.01821,0.05503,0.002065,0.0753,231,640,0.7147,0.9986,0.995,0.9301,0.009988,0.03173,0.0001502,YOLO v5,2000
114/299,11.9G,0.01794,0.05387,0.001377,0.07318,165,640,0.7191,0.9986,0.995,0.9308,0.009954,0.03155,0.0001482,YOLO v5,2000
115/299,11.9G,0.01774,0.05454,0.001524,0.07381,153,640,0.7246,0.9984,0.995,0.9315,0.009906,0.03135,0.0001499,YOLO v5,2000
116/299,11.9G,0.01782,0.05387,0.001508,0.0732,145,640,0.7286,0.9985,0.995,0.9324,0.009851,0.03124,0.0001495,YOLO v5,2000
117/299,11.9G,0.01763,0.05298,0.001381,0.07199,161,640,0.7296,0.9983,0.995,0.9337,0.009803,0.03094,0.0001489,YOLO v5,2000
118/299,11.9G,0.01757,0.05287,0.001306,0.07175,168,640,0.7286,0.9984,0.995,0.934,0.009759,0.03086,0.0001476,YOLO v5,2000
119/299,11.9G,0.01748,0.05261,0.001514,0.0716,130,640,0.7278,0.9984,0.9949,0.9354,0.009708,0.0308,0.0001467,YOLO v5,2000
120/299,11.9G,0.01781,0.0539,0.001897,0.07361,114,640,0.7277,0.9984,0.9949,0.9361,0.009676,0.03059,0.0001453,YOLO v5,2000
121/299,11.9G,0.01751,0.05345,0.001664,0.07263,152,640,0.7292,0.9984,0.9949,0.937,0.009636,0.03053,0.0001435,YOLO v5,2000
122/299,11.9G,0.01738,0.0526,0.001472,0.07146,168,640,0.7337,0.9984,0.995,0.9379,0.009589,0.03036,0.0001429,YOLO v5,2000
123/299,11.9G,0.01733,0.0524,0.00139,0.07112,152,640,0.7331,0.9984,0.995,0.9376,0.009551,0.03033,0.000143,YOLO v5,2000
124/299,11.9G,0.01721,0.0519,0.001509,0.07063,132,640,0.7332,0.9984,0.9949,0.9383,0.009503,0.03023,0.0001432,YOLO v5,2000
125/299,11.9G,0.01716,0.05195,0.001336,0.07045,163,640,0.7346,0.9984,0.995,0.939,0.00944,0.03008,0.0001416,YOLO v5,2000
126/299,11.9G,0.01724,0.05209,0.00128,0.07062,154,640,0.7356,0.9986,0.995,0.9394,0.009374,0.02994,0.0001409,YOLO v5,2000
127/299,11.9G,0.01699,0.05168,0.001345,0.07002,184,640,0.7348,0.9986,0.995,0.9397,0.009325,0.02979,0.0001406,YOLO v5,2000
128/299,11.9G,0.01695,0.05139,0.001227,0.06956,163,640,0.7351,0.9986,0.9949,0.9409,0.009285,0.02965,0.0001397,YOLO v5,2000
129/299,11.9G,0.01677,0.05075,0.001348,0.06887,170,640,0.7359,0.9986,0.995,0.9415,0.009228,0.0295,0.0001388,YOLO v5,2000
130/299,11.9G,0.01684,0.05128,0.001269,0.06939,183,640,0.7365,0.9986,0.995,0.9423,0.009181,0.0294,0.0001381,YOLO v5,2000
131/299,11.9G,0.01683,0.05102,0.001227,0.06908,171,640,0.7382,0.9986,0.995,0.9432,0.009134,0.02929,0.000137,YOLO v5,2000
132/299,11.9G,0.01683,0.05087,0.001302,0.069,162,640,0.7372,0.9986,0.995,0.9434,0.009088,0.02924,0.0001371,YOLO v5,2000
133/299,11.9G,0.0168,0.05024,0.001277,0.06831,207,640,0.7372,0.9986,0.995,0.9438,0.009035,0.02913,0.0001366,YOLO v5,2000
134/299,11.9G,0.01653,0.05083,0.001286,0.06864,179,640,0.7375,0.9986,0.995,0.9445,0.008986,0.02904,0.0001368,YOLO v5,2000
135/299,11.9G,0.01651,0.0498,0.001216,0.06752,144,640,0.7373,0.9986,0.995,0.9455,0.008937,0.02889,0.0001358,YOLO v5,2000
136/299,11.9G,0.01632,0.05015,0.001231,0.0677,156,640,0.7366,0.9986,0.995,0.9456,0.008904,0.02884,0.0001354,YOLO v5,2000
137/299,11.9G,0.01655,0.05058,0.001261,0.06839,216,640,0.7372,0.9986,0.995,0.9461,0.00887,0.02872,0.0001349,YOLO v5,2000
138/299,11.9G,0.01628,0.04971,0.001227,0.06722,198,640,0.7391,0.9986,0.995,0.9468,0.008838,0.02857,0.0001343,YOLO v5,2000
139/299,11.9G,0.01608,0.04903,0.00119,0.06629,192,640,0.7372,0.9986,0.995,0.9472,0.008799,0.02847,0.0001331,YOLO v5,2000
140/299,11.9G,0.01626,0.05004,0.00109,0.0674,174,640,0.7385,0.9985,0.995,0.9473,0.008769,0.02838,0.0001326,YOLO v5,2000
141/299,11.9G,0.01614,0.04929,0.001133,0.06657,147,640,0.7399,0.9986,0.995,0.948,0.008737,0.02826,0.0001326,YOLO v5,2000
142/299,11.9G,0.01609,0.04902,0.001083,0.06619,171,640,0.7399,0.9986,0.995,0.9482,0.008698,0.02817,0.0001324,YOLO v5,2000
143/299,11.9G,0.01599,0.04868,0.001099,0.06577,164,640,0.7429,0.9986,0.995,0.9493,0.00866,0.02804,0.000132,YOLO v5,2000
144/299,11.9G,0.01572,0.04757,0.001102,0.0644,128,640,0.7424,0.9986,0.995,0.9497,0.008629,0.02794,0.0001316,YOLO v5,2000
145/299,11.9G,0.0159,0.04815,0.001225,0.06527,131,640,0.7439,0.9986,0.995,0.9503,0.008589,0.02782,0.0001311,YOLO v5,2000
146/299,11.9G,0.01569,0.04811,0.001138,0.06494,185,640,0.7453,0.9986,0.995,0.9507,0.008554,0.02772,0.0001306,YOLO v5,2000
147/299,11.9G,0.01575,0.04841,0.001083,0.06525,210,640,0.7454,0.9984,0.995,0.9512,0.008525,0.02766,0.0001303,YOLO v5,2000
148/299,11.9G,0.01567,0.04794,0.00125,0.06485,164,640,0.7452,0.9985,0.995,0.9513,0.0085,0.0276,0.0001299,YOLO v5,2000
149/299,11.9G,0.01595,0.04974,0.001869,0.06756,175,640,0.7448,0.9984,0.995,0.9519,0.008473,0.02755,0.0001291,YOLO v5,2000
150/299,11.9G,0.01571,0.04856,0.001087,0.06535,235,640,0.7451,0.9984,0.995,0.9521,0.008451,0.0275,0.000128,YOLO v5,2000
151/299,11.9G,0.01548,0.04756,0.001112,0.06416,153,640,0.7465,0.9984,0.995,0.9525,0.008429,0.02744,0.0001276,YOLO v5,2000
152/299,11.9G,0.01551,0.04733,0.001097,0.06394,158,640,0.7476,0.9984,0.995,0.9522,0.008404,0.02738,0.0001275,YOLO v5,2000
153/299,11.9G,0.0154,0.04697,0.001078,0.06345,120,640,0.7481,0.9986,0.995,0.9525,0.008377,0.02729,0.000127,YOLO v5,2000
154/299,11.9G,0.01528,0.04668,0.00111,0.06307,183,640,0.7493,0.9986,0.995,0.9529,0.008357,0.02724,0.0001267,YOLO v5,2000
155/299,11.9G,0.01523,0.04615,0.001008,0.0624,94,640,0.7497,0.9986,0.995,0.953,0.008336,0.02718,0.0001263,YOLO v5,2000
156/299,11.9G,0.01528,0.04636,0.001097,0.06273,163,640,0.7504,0.9986,0.995,0.9539,0.00831,0.02709,0.0001259,YOLO v5,2000
157/299,11.9G,0.01523,0.0463,0.00106,0.06259,149,640,0.7512,0.9986,0.995,0.9539,0.008285,0.02701,0.0001257,YOLO v5,2000
158/299,11.9G,0.01521,0.04669,0.0009715,0.06288,206,640,0.7511,0.9986,0.995,0.9546,0.008261,0.02696,0.0001256,YOLO v5,2000
159/299,11.9G,0.01501,0.0464,0.0009377,0.06234,220,640,0.7527,0.9986,0.995,0.955,0.008238,0.02688,0.0001252,YOLO v5,2000
160/299,11.9G,0.01494,0.04591,0.0009778,0.06183,161,640,0.7538,0.9986,0.995,0.955,0.008217,0.02681,0.0001249,YOLO v5,2000
161/299,11.9G,0.01476,0.04502,0.0009394,0.06072,220,640,0.7551,0.9986,0.995,0.9552,0.008197,0.02674,0.0001246,YOLO v5,2000
162/299,11.9G,0.01487,0.04506,0.0009512,0.06089,102,640,0.7565,0.9986,0.995,0.9553,0.00817,0.02665,0.000124,YOLO v5,2000
163/299,11.9G,0.01486,0.04571,0.0009012,0.06147,167,640,0.7579,0.9986,0.995,0.9555,0.008146,0.02657,0.0001239,YOLO v5,2000
164/299,11.9G,0.01458,0.0449,0.0008622,0.06034,177,640,0.759,0.9986,0.995,0.9559,0.008127,0.02649,0.0001236,YOLO v5,2000
165/299,11.9G,0.01469,0.0454,0.0009221,0.06101,179,640,0.7597,0.9986,0.995,0.956,0.008105,0.02643,0.0001232,YOLO v5,2000
166/299,11.9G,0.01463,0.04498,0.0009264,0.06054,165,640,0.7606,0.9986,0.995,0.9558,0.008087,0.02637,0.0001229,YOLO v5,2000
167/299,11.9G,0.01452,0.04471,0.0009019,0.06013,156,640,0.7618,0.9986,0.995,0.9561,0.008069,0.02631,0.0001225,YOLO v5,2000
168/299,11.9G,0.0145,0.04488,0.0009784,0.06036,216,640,0.7627,0.9986,0.995,0.9562,0.008051,0.02624,0.0001222,YOLO v5,2000
169/299,11.9G,0.01462,0.04489,0.0009617,0.06046,190,640,0.7628,0.9986,0.995,0.9564,0.008037,0.0262,0.0001219,YOLO v5,2000
170/299,11.9G,0.01454,0.04404,0.0009224,0.0595,163,640,0.7634,0.9986,0.995,0.9566,0.008017,0.02611,0.0001214,YOLO v5,2000
171/299,11.9G,0.01432,0.04399,0.0008742,0.05918,109,640,0.7633,0.9986,0.995,0.9566,0.008,0.02605,0.0001209,YOLO v5,2000
172/299,11.9G,0.01425,0.04387,0.0008359,0.05896,157,640,0.7639,0.9986,0.995,0.9569,0.007979,0.02598,0.0001204,YOLO v5,2000
173/299,11.9G,0.01418,0.04417,0.0008848,0.05923,193,640,0.7642,0.9986,0.995,0.9572,0.007964,0.02593,0.0001201,YOLO v5,2000
174/299,11.9G,0.01415,0.04319,0.0009753,0.05831,204,640,0.7649,0.9986,0.995,0.9575,0.007946,0.02587,0.0001197,YOLO v5,2000
175/299,11.9G,0.01421,0.04345,0.0008846,0.05855,196,640,0.7657,0.9986,0.995,0.9576,0.007926,0.0258,0.0001193,YOLO v5,2000
176/299,11.9G,0.0141,0.04358,0.0008623,0.05854,179,640,0.7663,0.9986,0.995,0.958,0.00791,0.02574,0.0001189,YOLO v5,2000
177/299,11.9G,0.01406,0.04279,0.0008315,0.05768,182,640,0.7677,0.9986,0.995,0.9581,0.007893,0.02567,0.0001184,YOLO v5,2000
178/299,11.9G,0.01397,0.04295,0.0008395,0.05776,186,640,0.7688,0.9986,0.995,0.9589,0.007873,0.0256,0.0001181,YOLO v5,2000
179/299,11.9G,0.01382,0.04262,0.0008562,0.05729,168,640,0.7691,0.9986,0.995,0.9591,0.007854,0.02554,0.0001177,YOLO v5,2000
180/299,11.9G,0.01384,0.04215,0.0008933,0.05688,153,640,0.7692,0.9986,0.995,0.9591,0.007838,0.0255,0.0001174,YOLO v5,2000
181/299,11.9G,0.01391,0.04258,0.000781,0.05727,123,640,0.7694,0.9986,0.995,0.9589,0.00782,0.02545,0.0001169,YOLO v5,2000
182/299,11.9G,0.01378,0.04238,0.000782,0.05694,199,640,0.7705,0.9986,0.995,0.9597,0.007804,0.02539,0.0001165,YOLO v5,2000
183/299,11.9G,0.01354,0.04192,0.0007631,0.05622,157,640,0.7712,0.9986,0.995,0.9598,0.00779,0.02534,0.0001162,YOLO v5,2000
184/299,11.9G,0.01352,0.04203,0.0008209,0.05637,144,640,0.7724,0.9986,0.995,0.9599,0.007773,0.02529,0.0001159,YOLO v5,2000
185/299,11.9G,0.01363,0.04173,0.0007787,0.05614,162,640,0.7729,0.9986,0.995,0.9602,0.007759,0.02524,0.0001155,YOLO v5,2000
186/299,11.9G,0.01366,0.04216,0.0008053,0.05662,139,640,0.7739,0.9986,0.995,0.9604,0.007745,0.02519,0.0001151,YOLO v5,2000
187/299,11.9G,0.01335,0.04104,0.0007919,0.05518,156,640,0.7747,0.9986,0.995,0.9607,0.007729,0.02513,0.0001148,YOLO v5,2000
188/299,11.9G,0.01339,0.04147,0.0007599,0.05562,149,640,0.7753,0.9986,0.995,0.9611,0.007714,0.02508,0.0001145,YOLO v5,2000
189/299,11.9G,0.01335,0.04116,0.0007549,0.05526,175,640,0.7757,0.9986,0.995,0.9612,0.0077,0.02504,0.0001142,YOLO v5,2000
190/299,11.9G,0.01323,0.04148,0.0007455,0.05545,119,640,0.7764,0.9986,0.995,0.9614,0.007686,0.02498,0.0001139,YOLO v5,2000
191/299,11.9G,0.01325,0.04085,0.0007231,0.05483,202,640,0.7773,0.9986,0.995,0.9617,0.007671,0.02493,0.0001135,YOLO v5,2000
192/299,11.9G,0.01318,0.04064,0.0007072,0.05453,118,640,0.7774,0.9986,0.995,0.9621,0.007656,0.02488,0.0001131,YOLO v5,2000
193/299,11.9G,0.01308,0.04068,0.000763,0.05452,143,640,0.778,0.9986,0.995,0.9623,0.00764,0.02484,0.0001128,YOLO v5,2000
194/299,11.9G,0.01311,0.04046,0.0007016,0.05426,167,640,0.7787,0.9986,0.995,0.9623,0.007622,0.02478,0.0001124,YOLO v5,2000
195/299,11.9G,0.01302,0.04033,0.0007377,0.0541,146,640,0.7796,0.9986,0.995,0.9624,0.007609,0.02473,0.0001121,YOLO v5,2000
196/299,11.9G,0.01292,0.04052,0.0006799,0.05413,205,640,0.7804,0.9986,0.995,0.9627,0.007592,0.02468,0.0001117,YOLO v5,2000
197/299,11.9G,0.01293,0.03983,0.0006721,0.05343,196,640,0.7809,0.9986,0.995,0.9629,0.007579,0.02463,0.0001114,YOLO v5,2000
198/299,11.9G,0.01293,0.03973,0.0006196,0.05328,182,640,0.7808,0.9986,0.995,0.9629,0.007563,0.02458,0.0001109,YOLO v5,2000
199/299,11.9G,0.01272,0.03979,0.0006685,0.05317,190,640,0.7813,0.9986,0.995,0.9633,0.00755,0.02453,0.0001106,YOLO v5,2000
200/299,11.9G,0.01282,0.03925,0.000632,0.0527,138,640,0.7818,0.9986,0.995,0.9634,0.007536,0.02448,0.0001102,YOLO v5,2000
201/299,11.9G,0.01273,0.03902,0.0006617,0.05241,190,640,0.7825,0.9986,0.995,0.9634,0.007521,0.02442,0.0001098,YOLO v5,2000
202/299,11.9G,0.01262,0.03896,0.0006764,0.05226,227,640,0.7831,0.9986,0.995,0.9637,0.007508,0.02437,0.0001095,YOLO v5,2000
203/299,11.9G,0.01264,0.03927,0.0006473,0.05255,182,640,0.7841,0.9986,0.995,0.9641,0.007495,0.02432,0.0001091,YOLO v5,2000
