Plant Type,lat,lon,geometry
Poison Ivy,44.9893645887,-76.3554406049,POINT (-76.3554406049 44.9893645887)
Poison Ivy,44.2447004335,-68.6771788614,POINT (-68.67717886139999 44.2447004335)
Poison Ivy,39.2082563004,-105.0853142812,POINT (-105.0853142812 39.2082563004)
Poison Ivy,49.89722833,-97.11319717,POINT (-97.11319717000001 49.89722833)
Poison Ivy,44.55123,-94.99102,POINT (-94.99102000000001 44.55123)
Poison Ivy,45.3208547222,-75.8016863889,POINT (-75.80168638889999 45.3208547222)
Poison Ivy,47.1921821918,-95.2303261695,POINT (-95.2303261695 47.1921821918)
Poison Ivy,47.6756468611,-117.2031543611,POINT (-117.2031543611 47.6756468611)
Poison Ivy,52.166725,-106.6062916667,POINT (-106.6062916667 52.166725)
Poison Ivy,44.2800138889,-78.1338277778,POINT (-78.13382777779999 44.2800138889)
Poison Ivy,39.3946305399,-105.1417506235,POINT (-105.1417506235 39.3946305399)
Poison Ivy,46.5961016667,-63.8314866667,POINT (-63.8314866667 46.5961016667)
Poison Ivy,45.43053,-73.42449167,POINT (-73.42449166999999 45.43053)
Poison Ivy,43.2482354,-81.8224354,POINT (-81.8224354 43.2482354)
Poison Ivy,44.2984111111,-78.0872722222,POINT (-78.0872722222 44.2984111111)
Poison Ivy,45.6684713889,-73.5110130556,POINT (-73.5110130556 45.6684713889)
Poison Ivy,50.573925,-121.303115,POINT (-121.303115 50.573925)
Poison Ivy,44.3037694444,-78.0746388889,POINT (-78.0746388889 44.3037694444)
Poison Ivy,44.12296383,-79.49252167,POINT (-79.49252167 44.12296383)
Poison Ivy,46.620755,-63.95755,POINT (-63.95755 46.620755)
Poison Ivy,44.3058277778,-78.4292305556,POINT (-78.4292305556 44.3058277778)
Poison Ivy,52.10715271,-106.68669701,POINT (-106.68669701 52.10715271)
Poison Ivy,39.77441333,-105.12863883,POINT (-105.12863883 39.77441333)
Poison Ivy,49.038606101,-119.4661726746,POINT (-119.4661726746 49.038606101)
Poison Ivy,50.742543554,-120.5163261775,POINT (-120.5163261775 50.742543554)
Poison Ivy,50.7392956922,-120.5179870271,POINT (-120.5179870271 50.7392956922)
Poison Ivy,44.55085997,-94.99106999,POINT (-94.99106999 44.55085997)
Poison Ivy,49.9267760347,-119.5108220162,POINT (-119.5108220162 49.9267760347)
Poison Ivy,49.09577426,-119.52236389,POINT (-119.52236389 49.09577426)
Poison Ivy,44.55084167,-94.99072167,POINT (-94.99072167 44.55084167)
Poison Ivy,40.63295833,-111.86192167,POINT (-111.86192167 40.63295833)
Poison Ivy,46.7027861111,-72.0887,POINT (-72.0887 46.7027861111)
Poison Ivy,46.9778290278,-84.5343174444,POINT (-84.5343174444 46.9778290278)
Poison Ivy,50.35537917,-96.2130653301,POINT (-96.21306533009999 50.35537917)
Poison Ivy,49.5643874975,-119.6251778944,POINT (-119.6251778944 49.5643874975)
Poison Ivy,42.9926629365,-72.3087141105,POINT (-72.30871411050001 42.9926629365)
Poison Ivy,50.1704700524,-120.5437509624,POINT (-120.5437509624 50.1704700524)
Poison Ivy,47.8118700849,-92.4192247123,POINT (-92.41922471229999 47.8118700849)
Poison Ivy,44.8330925134,-80.0216889411,POINT (-80.0216889411 44.8330925134)
Poison Ivy,44.566475,-78.124275,POINT (-78.124275 44.566475)
Poison Ivy,44.3687896669,-78.2868060938,POINT (-78.2868060938 44.3687896669)
Poison Ivy,46.5447283333,-64.09246,POINT (-64.09246 46.5447283333)
Poison Ivy,39.4653627,-76.8151809,POINT (-76.8151809 39.4653627)
Poison Ivy,44.5516727027,-94.9915573654,POINT (-94.9915573654 44.5516727027)
Poison Ivy,44.67619667,-93.05895283,POINT (-93.05895283 44.67619667)
Poison Ivy,50.0144219841,-96.9201266947,POINT (-96.9201266947 50.0144219841)
Poison Ivy,45.64752,-62.4544,POINT (-62.4544 45.64752)
Poison Ivy,44.4701100917,-80.1037479088,POINT (-80.1037479088 44.4701100917)
Poison Ivy,46.0273926111,-81.7696736667,POINT (-81.7696736667 46.0273926111)
Poison Ivy,44.5802161646,-78.0805165653,POINT (-78.0805165653 44.5802161646)
Poison Ivy,46.331723,-83.917312,POINT (-83.917312 46.331723)
Poison Ivy,39.3821473689,-104.7104356023,POINT (-104.7104356023 39.3821473689)
Poison Ivy,39.3787907102,-104.7898261749,POINT (-104.7898261749 39.3787907102)
Poison Ivy,45.8945508628,-66.6908250657,POINT (-66.6908250657 45.8945508628)
