    40/299     11.9G   0.03789    0.1124   0.01617    0.1664       202       640    0.2728    0.9137    0.7804    0.4966   0.03356   0.09882   0.01661
    41/299     11.9G   0.03757    0.1101   0.01541    0.1631       134       640     0.356     0.898     0.781    0.5064   0.03294     0.095   0.01549
    42/299     11.9G   0.03714     0.109   0.01465    0.1607       177       640      0.33    0.9047    0.7858    0.5176   0.03237   0.09501   0.01584
    43/299     11.9G   0.03679    0.1089   0.01477    0.1604       158       640     0.268    0.9263    0.8001    0.5276    0.0328    0.1007   0.01617
    44/299     11.9G   0.03762    0.1086   0.01312    0.1594       117       640    0.3565    0.9071    0.8073    0.5363   0.03229   0.08974   0.01456
    45/299     11.9G   0.03659    0.1062   0.01458    0.1574       224       640    0.3874    0.8906    0.7816    0.5077    0.0327   0.08942   0.01662
    46/299     11.9G   0.03654    0.1095   0.01291     0.159       126       640    0.3363    0.8983    0.7763    0.5157   0.03181   0.09269   0.01833
    47/299     11.9G   0.03658    0.1061   0.01272    0.1554       189       640     0.361    0.9125     0.809    0.5353   0.03189   0.09004   0.01296
    48/299     11.9G   0.03642     0.105   0.01184    0.1532       176       640    0.3011    0.9297    0.7935    0.5205   0.03187   0.09724   0.01365
    49/299     11.9G   0.03662    0.1069   0.01153     0.155       200       640    0.3309    0.9219    0.8084    0.5392   0.03173   0.09303   0.01392
    50/299     11.9G   0.03584    0.1035   0.01104    0.1504       164       640    0.3783    0.9261    0.8362    0.5574   0.03194   0.08809   0.01085
    51/299     11.9G   0.03549    0.1032   0.01122    0.1499       175       640    0.3678    0.9308    0.8477     0.564   0.03135   0.08802   0.01119
    52/299     11.9G   0.03531    0.1029   0.01174    0.1499       114       640    0.3443    0.9277    0.8206     0.544   0.03204   0.09123   0.01146
    53/299     11.9G   0.03511    0.1047   0.01119     0.151       200       640    0.3843    0.9181    0.8295    0.5594    0.0311   0.08784   0.01062
    54/299     11.9G   0.03509   0.09923   0.01122    0.1455       157       640    0.3733    0.9246    0.8498    0.5714   0.03131   0.08797   0.01048
    55/299     11.9G   0.03484    0.1029  0.009808    0.1475       202       640    0.3312    0.9415    0.8471    0.5642   0.03126   0.09138  0.008481
