    41/299     12.1G   0.04352    0.1263   0.03249    0.2023       240       640    0.2244    0.7827    0.5337    0.3062   0.03801    0.1023   0.03439
    42/299     12.1G   0.04285    0.1223   0.03143    0.1966       187       640    0.2632    0.7472    0.5379    0.3167   0.03702   0.09909   0.03278
    43/299     12.1G   0.04319    0.1252   0.02925    0.1977       173       640    0.2487    0.7387    0.5248     0.301   0.03872    0.1019   0.03492
    44/299     12.1G   0.04249    0.1243   0.03025    0.1971       161       640    0.2663    0.7372    0.5533    0.3252   0.03783   0.09978   0.03512
    45/299     12.1G   0.04366    0.1247    0.0288    0.1972       146       640     0.256    0.7653    0.5524    0.3308   0.03701    0.1013    0.0321
    46/299     12.1G   0.04289     0.126    0.0279    0.1968       199       640    0.2483    0.7623    0.5355    0.3104   0.03856     0.101   0.03337
    47/299     12.1G   0.04138    0.1218   0.02777     0.191       236       640     0.338    0.6742    0.5243    0.3044   0.03782   0.09785   0.03479
    48/299     12.1G   0.04164    0.1224   0.02773    0.1918       150       640    0.2752    0.7972    0.5937    0.3559   0.03725   0.09756   0.03121
    49/299     12.1G   0.04198    0.1218   0.02679    0.1906       152       640    0.2484    0.7696    0.5438     0.317   0.03717    0.1005   0.03202
    50/299     12.1G   0.04195    0.1244   0.02731    0.1937       199       640    0.3047     0.703    0.5225    0.3094   0.03715    0.1029   0.03944
    51/299     12.1G   0.04087    0.1202   0.02743    0.1885       249       640    0.2077    0.7972     0.566    0.3264   0.03715     0.108   0.03425
    52/299     12.1G   0.04119    0.1212   0.02697    0.1894       199       640    0.2961    0.7698     0.602    0.3564    0.0375   0.09677   0.02984
    53/299     12.1G   0.04181    0.1223   0.02451    0.1886       185       640    0.2213     0.835    0.6226    0.3733   0.03594    0.1083   0.02645
    54/299     12.1G   0.04156    0.1221   0.02571    0.1894       165       640    0.2537    0.8169    0.5871     0.354   0.03652    0.1047   0.03046
    55/299     12.1G   0.04015     0.119   0.02406    0.1832       175       640    0.2598    0.8336    0.6142    0.3627   0.03604    0.1033   0.02788
    56/299     12.1G   0.04041    0.1225   0.02511     0.188       173       640    0.2374    0.8232    0.6038    0.3604   0.03661    0.1027    0.0273
    57/299     12.1G   0.04086    0.1192   0.02316    0.1832       128       640    0.3051    0.7701    0.5901    0.3431   0.03681       0.1   0.03129
    58/299     12.1G   0.04023    0.1172   0.02381    0.1813       237       640    0.3141    0.7966    0.5651    0.3417   0.03589   0.09997   0.03294
    59/299     12.1G   0.04011     0.119   0.02316    0.1823       213       640    0.3385    0.7712    0.6325    0.3871   0.03617    0.0955   0.02723
    60/299     12.1G   0.04015    0.1227   0.02218    0.1851       180       640    0.2675     0.786    0.6157    0.3627   0.03685   0.09938   0.02799
    61/299     12.1G   0.03967    0.1187   0.02191    0.1802       199       640    0.2177    0.8571    0.6084    0.3638   0.03593    0.1106   0.02906
    62/299     12.1G   0.03971     0.121   0.02163    0.1823       169       640    0.3017    0.8061    0.6111    0.3659   0.03674   0.09929   0.02934
    63/299     12.1G   0.04002    0.1192   0.02051    0.1797       187       640    0.2292    0.7982    0.5949    0.3361   0.03785    0.1033   0.02636
    64/299     12.1G   0.04002    0.1186   0.02068    0.1793       189       640    0.3108    0.7817     0.624    0.3841   0.03545   0.09671   0.02613
    65/299     12.1G   0.03984    0.1125   0.02061    0.1729       166       640    0.2784    0.8384    0.6379    0.3996   0.03542   0.09912   0.03053
    66/299     12.1G   0.03955    0.1147   0.01968    0.1739       119       640    0.3404    0.7904    0.6433    0.3824   0.03622   0.09534    0.0326
    67/299     12.1G   0.03913    0.1184   0.01911    0.1767       174       640    0.3373    0.7594    0.6015    0.3691   0.03567    0.1029   0.03689
    68/299     12.1G   0.03953    0.1145   0.01954    0.1736       152       640    0.3202    0.8002    0.6385    0.3941   0.03617   0.09576   0.02766
    69/299     12.1G   0.03925    0.1143   0.01776    0.1714       169       640    0.2913     0.842    0.6511    0.4104   0.03491   0.09708   0.03005
    70/299     12.1G   0.03926    0.1155   0.01878    0.1735       177       640    0.3049     0.787     0.556    0.3472   0.03552    0.1062   0.05007
    71/299     12.1G   0.03828    0.1134   0.01763    0.1693       253       640    0.3058    0.8151    0.6761    0.4243   0.03448   0.09662   0.02368
    72/299     12.1G    0.0382    0.1157   0.01683    0.1707       248       640    0.3475    0.8031     0.671    0.4235   0.03488   0.09575   0.02569
    73/299     12.1G   0.03818    0.1152   0.01838    0.1717       177       640    0.2936    0.8138    0.6399    0.4042   0.03515    0.0985   0.02397
    74/299     12.1G     0.039    0.1133   0.01796    0.1703       184       640    0.3897    0.7794    0.6812    0.4277   0.03485   0.09596   0.02391
    75/299     12.1G   0.03775    0.1119   0.01636     0.166       195       640    0.3061    0.7998    0.6196     0.389   0.03537   0.09798   0.03609
    76/299     12.1G    0.0389    0.1114   0.01649    0.1668       179       640    0.3323    0.8203    0.6566    0.4177   0.03472   0.09469   0.02702
    77/299     12.1G   0.03812     0.112   0.01638    0.1665       167       640     0.324    0.8174    0.6616     0.407   0.03475   0.09564   0.02912
    78/299     12.1G   0.03868    0.1111   0.01508    0.1649       191       640    0.3277    0.8352    0.6962    0.4376   0.03457   0.09723   0.02312
    79/299     12.1G   0.03849    0.1104   0.01425    0.1631       177       640    0.2723    0.8438    0.6824    0.4232   0.03417     0.101   0.02605
    80/299     12.1G   0.03723    0.1112   0.01509    0.1635       249       640    0.3086    0.8302    0.6578    0.4114   0.03482   0.09659   0.03538
    81/299     12.1G   0.03654    0.1114   0.01457    0.1626       197       640     0.352    0.8123    0.6663     0.432   0.03434   0.09512    0.0268
    82/299     12.1G   0.03734     0.111   0.01435    0.1627       152       640    0.3256    0.8294    0.6623    0.4221   0.03426   0.09898    0.0248
    83/299     12.1G   0.03746    0.1107   0.01394    0.1621       179       640    0.2819    0.8118    0.6163    0.3826   0.03497   0.09979   0.03456
    84/299     12.1G   0.03666    0.1088   0.01451    0.1599       167       640    0.3201    0.8239    0.6845    0.4362   0.03409   0.09815   0.02582
    85/299     12.1G   0.03625    0.1084   0.01471    0.1593       150       640    0.3131    0.8231    0.6586    0.4207   0.03442   0.09673   0.02789
    86/299     12.1G   0.03655    0.1098   0.01244    0.1588       276       640    0.2874      0.84    0.6911    0.4482   0.03403    0.0963     0.027
    87/299     12.1G   0.03696    0.1071   0.01211    0.1562       212       640    0.3782    0.8158    0.6939    0.4443   0.03471   0.09592   0.02195
    88/299     12.1G   0.03687    0.1034   0.01211    0.1524       113       640    0.3754    0.8202    0.6896    0.4454   0.03379   0.09374   0.02366
    89/299     12.1G   0.03634    0.1039   0.01323    0.1535       212       640    0.4574    0.7185    0.6537    0.4176   0.03409   0.09821   0.02806
    90/299     12.1G   0.03706     0.107   0.01378    0.1578       171       640    0.2867     0.817    0.6314    0.4008   0.03456    0.1025   0.04344
    91/299     12.1G   0.03594    0.1076   0.01318    0.1567       185       640    0.2824    0.8377    0.6509    0.4149   0.03415    0.1018   0.02663
    92/299     12.1G     0.036     0.108   0.01308    0.1571       170       640    0.3421    0.8364    0.7047    0.4536   0.03363   0.09654   0.02352
